1,2,3
2,1,7
3,8,1
3,2,12
3,12,14
8,14,36
8,3,14
12,2,13
12,13,16
12,16,15
13,2,19
13,24,29
13,29,30
14,12,15
14,15,37
15,16,37
16,13,30
16,30,35
17,18,19
17,19,2
17,2,7
18,20,19
18,17,61
19,20,21
19,23,24
20,26,22
20,18,26
21,23,19
21,22,27
22,21,20
23,25,24
23,21,27
24,13,19
24,25,28
24,28,29
25,23,27
25,33,28
26,18,61
28,33,34
29,28,32
30,29,31
31,29,32
31,32,34
32,28,34
35,30,31
35,31,38
36,14,37
37,38,36
37,16,35
37,35,38
61,17,7
