1,2,3
1,3,20
2,4,5
3,2,5
3,5,9
4,10,5
5,10,11
5,11,17
9,5,17
9,17,20
10,12,13
10,13,11
11,16,18
12,10,4
13,15,16
13,14,15
13,16,11
14,13,12
16,15,19
17,11,18
17,21,20
18,16,19
18,19,22
20,3,9
21,17,18
21,18,22
